metric,k1,k3,k5,k10,k20
NDCG,0.1496,0.1827,0.1931,0.2061,0.2199
MAP,0.1496,0.1744,0.1802,0.1855,0.1893
MRR,0.1496,0.1747,0.1802,0.1856,0.1894
Recall,0.1496,0.2067,0.2319,0.2723,0.3271
Precision,0.1496,0.0689,0.0464,0.0272,0.0163
