metric,k1,k3,k5,k10,k20
NDCG,0.7331,0.7449,0.7631,0.8004,0.8402
MAP,0.106,0.2515,0.3614,0.5451,0.6985
MRR,0.738,0.8217,0.8318,0.8355,0.836
Recall,0.106,0.2906,0.4412,0.6963,0.9037
Precision,0.7331,0.7158,0.6981,0.6314,0.4877
