source_id,total_tokens,count
Boletines_Oficiales/BOE,1528544059,262560
Boletines_Oficiales/BOJA,1296708752,224499
Boletines_Oficiales/BORM,641146900,220274
Boletines_Oficiales/BOCYL,966794738,211252
Boletines_Oficiales/BOCANT,349437665,156241
Boletines_Oficiales/BOC,279891305,77770
Boletines_Oficiales/BOP_Jaen,107402245,63706
Registro_Mercantil_Borme,103280302,31927
Boletines_Oficiales/BOP_Cordoba,248869562,9121
NORMA,33509658,9105
Ministerio_Transicion_Ecologica/Calidad_Evaluacion_Ambiental,14015998,2269
Boletines_Oficiales/BOCCE,37176689,869
Licitaciones,93394529,703
Ministerio_Transicion_Ecologica/Organismo_Autonomo_Parques_Nacionales,13438383,606
Ministerio_Transicion_Ecologica/Ministerio,7924191,601
Ministerio_Transicion_Ecologica/Cambio_Climatico,4642723,454
Licitaciones_2025-07-03,45371576,350
Ministerio_Transicion_Ecologica/Energia,5608038,328
Boletines_Oficiales/BOP_Granada,22996819,283
BODEFENSA,1414863,56
Codigo_Tecnico_Edificacion,1079556,53
Boletines_Oficiales/BOP_Sevilla,5082864,49
Departamento_Seguridad_Nacional,1058084,39
Biblioteca_Juridica,2575499,39
Ministerio_Transicion_Ecologica/Reto_Demografico,434927,31
Ministerio_Vivienda_Agenda_Urbana,280784,14
Agen_Urb_Esp,335451,11
Boletines_Oficiales/BOP_Malaga,24972,3
Ministerio_Transicion_Ecologica/Sala_Prensa,90664,2
Boletines_Oficiales/BOP_Almeria,58941,1
total,5812590737,1273216
