metric,score_minimo,score_maximo,score_mean,score_median,score_std
hit@1,0.0,1.0,0.81125,1.0,0.39130989956810447
hit@k,0.0,1.0,0.905,1.0,0.29321493822791495
context_relevance,0.0,1.0,0.915625,1.0,0.25447172608170043
