metric,k1,k3,k5,k10,k20
NDCG,0.7985,0.7923,0.8027,0.8321,0.8649
MAP,0.1215,0.278,0.3931,0.5802,0.7319
MRR,0.8017,0.8646,0.872,0.8752,0.8757
Recall,0.1215,0.3106,0.4597,0.7096,0.9087
Precision,0.7985,0.7535,0.7245,0.6451,0.4919
