metric,k1,k3,k5,k10,k20
NDCG,0.6451,0.6177,0.6357,0.6777,0.7077
MAP,0.2654,0.4513,0.5274,0.5844,0.6058
MRR,0.6564,0.7207,0.7297,0.7345,0.7349
Recall,0.2654,0.5051,0.639,0.77,0.8417
Precision,0.6451,0.4808,0.3886,0.2485,0.1419
