metric,k1,k3,k5,k10,k20
NDCG,0.7618,0.7695,0.781,0.8133,0.8492
MAP,0.1157,0.2649,0.3766,0.559,0.71
MRR,0.7639,0.8431,0.8495,0.8533,0.8538
Recall,0.1157,0.3014,0.4457,0.6965,0.9012
Precision,0.7618,0.7353,0.7091,0.6348,0.4866
