metric,k1,k3,k5,k10,k20
NDCG,0.9279,0.9526,0.9566,0.9598,0.9615
MAP,0.9279,0.9469,0.9491,0.9504,0.9509
MRR,0.9279,0.9469,0.9491,0.9505,0.9509
Recall,0.9279,0.9691,0.9787,0.9887,0.9951
Precision,0.9279,0.323,0.1957,0.0989,0.0498
