metric,k1,k3,k5,k10,k20
NDCG,0.9932,0.9958,0.9962,0.9966,0.9966
MAP,0.9932,0.9952,0.9955,0.9956,0.9956
MRR,0.9932,0.9952,0.9955,0.9956,0.9956
Recall,0.9932,0.9975,0.9985,0.9995,0.9995
Precision,0.9932,0.3325,0.1997,0.0999,0.05
