metric,k1,k3,k5,k10,k20
NDCG,0.7326,0.7387,0.7547,0.7956,0.8366
MAP,0.1064,0.2468,0.3548,0.5385,0.6919
MRR,0.7407,0.8221,0.832,0.8359,0.8365
Recall,0.1064,0.2877,0.4354,0.6926,0.9027
Precision,0.7326,0.7072,0.6886,0.6286,0.4868
