metric,k1,k3,k5,k10,k20
NDCG,0.4538,0.4443,0.4592,0.5141,0.5646
MAP,0.1681,0.2996,0.353,0.4047,0.4339
MRR,0.4797,0.5692,0.5811,0.5922,0.5948
Recall,0.1681,0.3647,0.4696,0.6272,0.7592
Precision,0.4538,0.356,0.2914,0.2031,0.1274
