metric,k1,k3,k5,k10,k20
NDCG,0.9525,0.9671,0.9693,0.9708,0.9718
MAP,0.9525,0.9637,0.9649,0.9655,0.9658
MRR,0.9525,0.9637,0.9649,0.9655,0.9658
Recall,0.9525,0.9771,0.9822,0.987,0.9909
Precision,0.9525,0.3257,0.1964,0.0987,0.0495
