metric,k1,k3,k5,k10,k20
NDCG,0.0468,0.0857,0.1094,0.1476,0.1786
MAP,0.0468,0.0754,0.0884,0.1042,0.1127
MRR,0.0459,0.0745,0.09,0.1045,0.1125
Recall,0.0468,0.116,0.1736,0.2923,0.4146
Precision,0.0468,0.0387,0.0347,0.0292,0.0207
