metric,k1,k3,k5,k10,k20
NDCG,0.9554,0.9727,0.9747,0.9761,0.9768
MAP,0.9554,0.9687,0.9698,0.9704,0.9706
MRR,0.9554,0.9687,0.9698,0.9704,0.9706
Recall,0.9554,0.9842,0.9891,0.9933,0.996
Precision,0.9554,0.3281,0.1978,0.0993,0.0498
