metric,k1,k3,k5,k10,k20
NDCG,0.875,0.9013,0.9073,0.9073,0.9177
MAP,0.875,0.8958,0.8993,0.8993,0.9021
MRR,0.875,0.8958,0.8993,0.8993,0.9021
Recall,0.875,0.9167,0.9306,0.9306,0.9722
Precision,0.875,0.3056,0.1861,0.0931,0.0486
