metric,k1,k3,k5,k10,k20
NDCG,0.5321,0.608,0.6224,0.6344,0.6417
MAP,0.5321,0.5903,0.5982,0.6032,0.6052
MRR,0.5324,0.591,0.5988,0.6035,0.6056
Recall,0.5321,0.6592,0.6938,0.7311,0.7593
Precision,0.5321,0.2197,0.1388,0.0731,0.038
