metric,k1,k3,k5,k10,k20
NDCG,0.4522,0.4705,0.4922,0.5509,0.5981
MAP,0.1889,0.332,0.3861,0.4439,0.4724
MRR,0.4878,0.5921,0.6073,0.6139,0.6161
Recall,0.1889,0.4019,0.5145,0.6694,0.7896
Precision,0.4522,0.3733,0.306,0.2143,0.1326
