metric,k1,k3,k5,k10,k20
NDCG,0.7634,0.7689,0.782,0.8164,0.8521
MAP,0.1124,0.2645,0.3768,0.5628,0.7147
MRR,0.7742,0.8458,0.8544,0.8581,0.8583
Recall,0.1124,0.3016,0.4498,0.7039,0.9051
Precision,0.7634,0.7349,0.7102,0.6383,0.4894
