metric,k1,k3,k5,k10,k20
NDCG,0.238,0.2981,0.3174,0.3472,0.3719
MAP,0.238,0.2824,0.2934,0.3054,0.3121
MRR,0.238,0.2825,0.2934,0.3054,0.3121
Recall,0.238,0.3438,0.3894,0.4832,0.5817
Precision,0.238,0.1146,0.0779,0.0483,0.0291
