metric,k1,k3,k5,k10,k20
NDCG,0.0598,0.0914,0.1018,0.1135,0.1232
MAP,0.0598,0.0838,0.0896,0.0944,0.097
MRR,0.0598,0.0843,0.0899,0.0946,0.0972
Recall,0.0598,0.1134,0.1387,0.1748,0.2134
Precision,0.0598,0.0378,0.0277,0.0175,0.0107
