metric,k1,k3,k5,k10,k20
NDCG,0.0246,0.0417,0.0546,0.0752,0.1049
MAP,0.0246,0.0371,0.0443,0.0526,0.0606
MRR,0.0246,0.0373,0.0444,0.0528,0.0608
Recall,0.0246,0.0549,0.0867,0.1511,0.2693
Precision,0.0246,0.0183,0.0173,0.0151,0.0135
