metric,k1,k3,k5,k10,k20
NDCG,0.1613,0.2009,0.2134,0.2281,0.2406
MAP,0.1613,0.1909,0.1978,0.2038,0.2073
MRR,0.1613,0.1909,0.1978,0.2038,0.2073
Recall,0.1613,0.2299,0.2605,0.3059,0.355
Precision,0.1613,0.0766,0.0521,0.0306,0.0177
