metric,k1,k3,k5,k10,k20
NDCG,0.0273,0.0395,0.0449,0.0509,0.0585
MAP,0.0273,0.0363,0.0393,0.0418,0.0439
MRR,0.0273,0.0363,0.0393,0.0418,0.0439
Recall,0.0273,0.0486,0.0617,0.0804,0.1103
Precision,0.0273,0.0162,0.0123,0.008,0.0055
