metric,k1,k3,k5,k10,k20
NDCG,0.0207,0.029,0.0328,0.0377,0.0415
MAP,0.0207,0.027,0.0291,0.0311,0.0321
MRR,0.0207,0.027,0.0291,0.0311,0.0321
Recall,0.0207,0.0348,0.0441,0.0593,0.0746
Precision,0.0207,0.0116,0.0088,0.0059,0.0037
