metric,k1,k3,k5,k10,k20
NDCG,0.0069,0.0127,0.0186,0.0339,0.0807
MAP,0.0069,0.011,0.0143,0.0204,0.0324
MRR,0.9846,0.9909,0.9909,0.991,0.991
Recall,0.0069,0.0177,0.0323,0.08,0.2715
Precision,0.0069,0.0059,0.0065,0.008,0.0136
