metric,k1,k3,k5,k10,k20
NDCG,0.6221,0.6719,0.6844,0.6955,0.7037
MAP,0.6221,0.66,0.6669,0.6715,0.6738
MRR,0.6221,0.66,0.6669,0.6715,0.6738
Recall,0.6221,0.7062,0.7363,0.7709,0.8033
Precision,0.6221,0.2354,0.1473,0.0771,0.0402
