metric,k1,k3,k5,k10,k20
NDCG,0.5479,0.6275,0.6415,0.6521,0.6575
MAP,0.5479,0.6085,0.6163,0.6206,0.6221
MRR,0.5476,0.6083,0.616,0.6205,0.622
Recall,0.5479,0.6824,0.716,0.7489,0.7704
Precision,0.5479,0.2275,0.1432,0.0749,0.0385
