metric,k1,k3,k5,k10,k20
NDCG,0.6169,0.6893,0.7057,0.72,0.73
MAP,0.6169,0.672,0.6812,0.6871,0.6899
MRR,0.6167,0.6719,0.681,0.687,0.6898
Recall,0.6169,0.7391,0.7786,0.8225,0.8622
Precision,0.6169,0.2464,0.1557,0.0823,0.0431
