metric,k1,k3,k5,k10,k20
NDCG,0.6969,0.8073,0.87,0.87,0.87
MAP,0.3488,0.7443,0.8037,0.8037,0.8037
MRR,0.6969,0.8369,0.8369,0.8369,0.8369
Recall,0.3488,0.8813,1.0,1.0,1.0
Precision,0.6969,0.5874,0.3999,0.2,0.1
