metric,k1,k3,k5,k10,k20
NDCG,0.7637,0.7846,0.7861,0.7898,0.7953
MAP,0.7637,0.7796,0.7805,0.7819,0.7834
MRR,0.764,0.7798,0.7807,0.7821,0.7836
Recall,0.7637,0.799,0.8027,0.8145,0.8366
Precision,0.7637,0.2663,0.1605,0.0814,0.0418
