metric,k1,k3,k5,k10,k20
NDCG,0.6486,0.7942,0.8052,0.8124,0.8168
MAP,0.6486,0.7622,0.7684,0.7714,0.7726
MRR,0.6486,0.7618,0.7678,0.7709,0.7721
Recall,0.6486,0.885,0.9117,0.9335,0.9511
Precision,0.6486,0.295,0.1823,0.0934,0.0476
