metric,k1,k3,k5,k10,k20
NDCG,0.9931,0.9961,0.9965,0.9966,0.9967
MAP,0.9931,0.9954,0.9956,0.9957,0.9957
MRR,0.9931,0.9954,0.9956,0.9957,0.9957
Recall,0.9931,0.9981,0.9989,0.9992,0.9997
Precision,0.9931,0.3327,0.1998,0.0999,0.05
