metric,k1,k3,k5,k10,k20
NDCG,0.7791,0.8344,0.846,0.8551,0.8614
MAP,0.7791,0.8209,0.8274,0.8312,0.8329
MRR,0.7791,0.8209,0.8274,0.8312,0.8329
Recall,0.7791,0.8733,0.9017,0.9294,0.9543
Precision,0.7791,0.2911,0.1803,0.0929,0.0477
