metric,k1,k3,k5,k10,k20
NDCG,0.9757,0.9865,0.9875,0.9875,0.988
MAP,0.9757,0.9841,0.9847,0.9847,0.9849
MRR,0.9757,0.9841,0.9847,0.9847,0.9848
Recall,0.9757,0.9934,0.9956,0.9956,0.9978
Precision,0.9757,0.3311,0.1991,0.0996,0.0499
