metric,k1,k3,k5,k10,k20
NDCG,0.8301,0.878,0.8877,0.8957,0.9
MAP,0.8301,0.8663,0.8717,0.8749,0.8761
MRR,0.8301,0.8664,0.8717,0.875,0.8762
Recall,0.8301,0.9117,0.9355,0.9605,0.9775
Precision,0.8301,0.3039,0.1871,0.096,0.0489
