metric,k1,k3,k5,k10,k20
NDCG,0.319,0.4369,0.4615,0.487,0.5057
MAP,0.319,0.4091,0.4228,0.4334,0.4385
MRR,0.3189,0.4092,0.423,0.4335,0.4386
Recall,0.319,0.5168,0.5765,0.655,0.7288
Precision,0.319,0.1723,0.1153,0.0655,0.0364
