metric,k1,k3,k5,k10,k20
NDCG,0.6192,0.6904,0.7098,0.7262,0.7384
MAP,0.6192,0.6732,0.6839,0.6907,0.694
MRR,0.6192,0.6732,0.6839,0.6907,0.694
Recall,0.6192,0.7404,0.7875,0.8383,0.8866
Precision,0.6192,0.2468,0.1575,0.0838,0.0443
